,Nosanri4_3,Nosanri4_4,Galdamri_3,Galdamri_4,Bonggok,Yongsandong,Songamri_2,Songamri_3,Gawolri_2,Hahwagyeri_3,Hwadaeri_3,Gihwari,Suyanggae_1,Yonghodong,Suyanggae_2,Gawolri_1,Galdun_4,Gigok,Cheonri,Suyanggae_3,Hwadaeri_2,Sageunri,Geumpari,Ssangjungri_3,Hopyeongdong2_3b,Hopyeongdong1_3b,Jeungsanri_1,Galdun_3,Jungjangri,Ssangjungri_2,Ssangjungri_1,Sinbook,Yongbang_B,Hajinri_3,Hajinri_4
quartz,333,163,25,,204,1134,206,213,21,211,935,13,,492,,22,1100,387,,,3516,,1497,49,1162,1731,,516,554,75,330,136,81,903,359
shale,,,,,,,26,6,,,3,,2,,32,,,,,92,,,,,,,,,,,,,18,6115,10312
rhyolite,,,,,227,,10,2,,,1,,,,,,,,,,,326,,,,,1,,,3,24,94,,8,8
hornfels,,,,,,1129,7,,,,,,,33,,,,,,,,,,,,,,,,,,,311,82,79
iron_ore,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
chert,,,,,,,1,1,,,,,1,1,13,,,3,,27,,,100,,,,,,,,,,,,1
sandstone,,,,,,,1,1,,10,1,12,1,,,,,4,,1,8,,135,,,,,,,,,,9,39,36
tuff,,,,,,10,1,1,,,,2,,20,,,,,,,,,,,,,1,,,,,,,7,5
etc.,6,8,,,,23,,,,,,3,,15,,,212,,,,,5,22,4,36,94,35,15,,,32,,,,
quartzite,77,47,5,7,,,,,16,,,9,,101,,6,63,1,56,,1,,583,,,,526,11,419,,,,11,88,56
quartz_vein,,,5,28,,,,,,,,4,9,,47,,,,197,65,,,,,,,812,,,,,,,,
porphyry,58,36,,,,,,,,5,,,,,,,,,,,179,,,,,,,,,,,,28,,
limestone,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,
slate,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
gneiss,,,,,,,,,,,,18,,,,,,,1,,,,50,,,,,,20,,,,,6,
granite,,,,,,,,,,,,,,,,,,,,,,,17,,,,104,,,,,,,1,
crystal,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,1,,,,,,,2
basalt,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,
amphibolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,6
siliceous-schist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,
quartzitic-gneiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,10
metamorphic-rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7
andesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
