site_name,elevation,e_deg,e_min,e_sec,n_deg,n_min,n_sec,lat_dms,long_dms,lat_dd,long_dd
Bonggok,48,127,6,0,35,49,0,35 49 0,127 6 0,35.81666667,127.1
Hahwagye-ri 3rd,140,127,32,128,37,33,37,37 33 37,127 32 128,37.56027778,127.5688889
Gihwa-ri Cave,300,128,31,0,37,19,0,37 19 0,128 31 0,37.31666667,128.5166667
Suyanggae location3 (redbrown layer),157.5,128,19,55,36,57,37,36 57 37,128 19 55,36.96027778,128.3319444
Yongho-dong,39.6,127,27,9.27,36,26,55,36 26 55,127 27 9.27,36.44861111,127.452575
Galdun 4th Layer,84.7,127,41,33.74,37,53,0,37 53 0,127 41 33.74,37.88333333,127.6927056
Gigok,23,129,4,35.2,37,34,0,37 34 0,129 4 35.2,37.56666667,129.0764444
Cheon-ri,97.6,127,1,26,37,5,22,37 5 22,127 1 26,37.08944444,127.0238889
Haga,,127,13,12.6,35,38,0,35 38 0,127 13 12.6,35.63333333,127.2201667
Songam-ri 2nd,130,127,42,0,37,0,8,37 0 8,127 42 0,37.00222222,127.7
Songam-ri 1st,,127,42,0,37,0,8,37 0 8,127 42 0,37.00222222,127.7
Gawol-ri,32.3,127,1,126,37,42,38,37 42 38,127 1 126,37.71055556,127.0516667
Nosan-ri,66,127,34,127,36,36,36,36 36 36,127 34 127,36.61,127.6019444
Hwadae-ri,128,127,20,6.4,37,58,0,37 58 0,127 20 6.4,37.96666667,127.3351111
Jeogok-ri,,127,2,0,38,2,0,38 2 0,127 2 0,38.03333333,127.0333333
Sageun-ri,31,127,7,57,35,51,0,35 51 0,127 7 57,35.85,127.1325
Seokjang-ri,,127,11,22.6,36,26,0,36 26 0,127 11 22.6,36.43333333,127.1896111
Geumpa-ri,20,126,49,0,37,56,0,37 56 0,126 49 0,37.93333333,126.8166667
Ssangjung-ri,16,126,51,10,35,52,50,35 52 50,126 51 10,35.88055556,126.8527778
Hopyeong-dong,146.5,127,5,15,37,46,11,37 46 11,127 5 15,37.76972222,127.0875
Jeungsan-ri,54.5,126,26,46,35,18,34,35 18 34,126 26 46,35.30944444,126.4461111
Galdun 3th Layer,84.8,127,41,33.74,37,53,0,37 53 0,127 41 33.74,37.88333333,127.6927056
Jungjang-ri,207.5,127,55,0,35,40,0,35 40 0,127 55 0,35.66666667,127.9166667
Sinbook,187,126,59,50,34,44,30,34 44 30,126 59 50,34.74166667,126.9972222
Yongbang,33,127,27,34.4,36,27,0,36 27 0,127 27 34.4,36.45,127.4595556
Yongsandong,35,127,23,48,36,25,19,36 25 19,127 23 48,36.42194444,127.3966667
